"name","geo_place_name","geo_type_name","start_date","data_value"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF42","2019-01-01","7.5"
"Fine particles (PM 2.5)","Williamsburg - Bushwick","UHF42","2017-12-01","9.4"
"Fine particles (PM 2.5)","Bayside - Little Neck","UHF42","2017-12-01","7.6"
"Fine particles (PM 2.5)","Pelham - Throgs Neck","UHF42","2008-12-01","13.3"
"Fine particles (PM 2.5)","Downtown - Heights - Slope","UHF42","2022-06-01","6.9"
"Fine particles (PM 2.5)","Chelsea - Clinton","UHF42","2011-12-01","12.4"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2022-06-01","7.1"
"Fine particles (PM 2.5)","Downtown - Heights - Slope","UHF42","2021-12-01","7.4"
"Fine particles (PM 2.5)","Downtown - Heights - Slope","UHF42","2021-06-01","9.1"
"Fine particles (PM 2.5)","Central Harlem - Morningside Heights","UHF42","2013-06-01","10.8"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2013-06-01","10.2"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2012-12-01","8.7"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2010-12-01","13.4"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2010-06-01","11.8"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2015-12-01","8.3"
"Fine particles (PM 2.5)","Northeast Bronx","UHF42","2021-12-01","7.3"
"Fine particles (PM 2.5)","Chelsea - Clinton","UHF42","2021-12-01","9.3"
"Fine particles (PM 2.5)","Downtown - Heights - Slope","UHF42","2012-06-01","11.1"
"Fine particles (PM 2.5)","Chelsea - Clinton","UHF42","2018-01-01","10"
"Fine particles (PM 2.5)","Central Harlem - Morningside Heights","UHF42","2015-12-31","8"
"Fine particles (PM 2.5)","Downtown - Heights - Slope","UHF42","2013-06-01","11"
"Fine particles (PM 2.5)","Central Harlem - Morningside Heights","UHF42","2018-01-01","7.5"
"Fine particles (PM 2.5)","Chelsea - Clinton","UHF42","2014-06-01","11.8"
"Fine particles (PM 2.5)","Fort Greene and Brooklyn Heights (CD2)","CD","2013-06-01","11"
"Fine particles (PM 2.5)","Fort Greene and Brooklyn Heights (CD2)","CD","2012-06-01","11.1"
"Fine particles (PM 2.5)","Greenpoint and Williamsburg (CD1)","CD","2014-12-01","10.9"
"Fine particles (PM 2.5)","Greenwich Village and Soho (CD2)","CD","2014-12-01","11.1"
"Fine particles (PM 2.5)","Mott Haven and Melrose (CD1)","CD","2014-12-01","10.8"
"Fine particles (PM 2.5)","West Queens","UHF42","2015-12-31","8.1"
"Fine particles (PM 2.5)","West Queens","UHF42","2021-12-01","7.1"
"Fine particles (PM 2.5)","Rockaways","UHF34","2012-12-01","7.6"
"Fine particles (PM 2.5)","Rockaways","UHF34","2017-01-01","6.3"
"Fine particles (PM 2.5)","Parkchester and Soundview (CD9)","CD","2009-06-01","10.6"
"Fine particles (PM 2.5)","Parkchester and Soundview (CD9)","CD","2012-12-01","8.9"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2009-06-01","10.4"
"Fine particles (PM 2.5)","Parkchester and Soundview (CD9)","CD","2013-06-01","10.4"
"Fine particles (PM 2.5)","Parkchester and Soundview (CD9)","CD","2018-01-01","7.1"
"Fine particles (PM 2.5)","Parkchester and Soundview (CD9)","CD","2021-12-01","7.3"
"Fine particles (PM 2.5)","Morris Park and Bronxdale (CD11)","CD","2018-01-01","7.1"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2012-06-01","10.1"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2013-06-01","10.1"
"Fine particles (PM 2.5)","Bayside and Little Neck (CD11)","CD","2018-01-01","6.5"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2021-12-01","6.8"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2012-12-01","8.4"
"Fine particles (PM 2.5)","Kew Gardens and Woodhaven (CD9)","CD","2014-12-01","8.8"
"Fine particles (PM 2.5)","Bayside and Little Neck (CD11)","CD","2014-12-01","8.8"
"Fine particles (PM 2.5)","Morningside Heights and Hamilton Heights (CD9)","CD","2010-12-01","14.5"
"Fine particles (PM 2.5)","Morningside Heights and Hamilton Heights (CD9)","CD","2012-12-01","9.8"
"Fine particles (PM 2.5)","East Harlem (CD11)","CD","2012-12-01","9.7"
"Fine particles (PM 2.5)","Morris Park and Bronxdale (CD11)","CD","2014-12-01","9.9"
"Fine particles (PM 2.5)","South Crown Heights and Lefferts Gardens (CD9)","CD","2021-01-01","6.5"
"Fine particles (PM 2.5)","East New York and Starrett City (CD5)","CD","2010-12-01","12.3"
"Fine particles (PM 2.5)","East New York and Starrett City (CD5)","CD","2009-06-01","10.7"
"Fine particles (PM 2.5)","East New York and Starrett City (CD5)","CD","2018-01-01","7"
"Fine particles (PM 2.5)","East New York and Starrett City (CD5)","CD","2021-12-01","6.7"
"Fine particles (PM 2.5)","Midtown (CD5)","CD","2012-06-01","14.8"
"Fine particles (PM 2.5)","Midtown (CD5)","CD","2021-12-01","10.1"
"Fine particles (PM 2.5)","East New York and Starrett City (CD5)","CD","2014-12-01","9.1"
"Fine particles (PM 2.5)","Gramercy Park - Murray Hill","UHF42","2013-12-01","16.4"
"Fine particles (PM 2.5)","Queens","Borough","2021-06-01","8.1"
"Fine particles (PM 2.5)","Canarsie - Flatlands","UHF34","2021-01-01","6.3"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2014-12-01","8.2"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2021-01-01","6.3"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2015-12-31","6.5"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2016-06-01","7.1"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2015-12-01","6.9"
"Fine particles (PM 2.5)","Queens","Borough","2021-01-01","6.5"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2015-01-01","7.9"
"Fine particles (PM 2.5)","Queens Village (CD13)","CD","2020-01-01","5.8"
"Fine particles (PM 2.5)","Queens","Borough","2020-12-01","6.7"
