GeoID,Year,PM2.5,AsthmaRate,RespiratoryRate
101.0,2015,10.3,25.8,14.8
101.0,2015,10.3,65.8,14.8
301.0,2015,11.1,81.6,10.3
301.0,2015,11.1,32.9,10.3
102.0,2015,11.1,108.6,15.4
102.0,2015,11.1,48.4,15.4
302.0,2009,10.5,291.1,18.8
302.0,2009,10.5,137.0,18.8
302.0,2015,10.3,193.1,14.9
302.0,2015,10.3,95.1,14.9
302.0,2015,9.8,193.1,14.9
302.0,2015,9.8,95.1,14.9
5.0,2009,10.5,28.1,14.2
5.0,2009,10.5,50.5,14.2
204.0,2017,7.5,99.0,9.0
204.0,2017,7.5,58.0,9.0
304.0,2015,9.8,23.2,8.5
304.0,2015,9.8,51.9,8.5
207.0,2017,8.4,37.0,6.0
207.0,2017,8.4,75.0,6.0
207.0,2017,8.4,37.0,6.0
207.0,2017,8.4,75.0,6.0
205.0,2012,11.2,28.0,9.4
205.0,2012,11.2,45.5,9.4
207.0,2015,8.6,41.9,9.7
207.0,2015,8.6,84.2,9.7
207.0,2015,9.3,41.9,9.7
207.0,2015,9.3,84.2,9.7
501.0,2015,8.1,45.6,17.4
501.0,2015,8.1,66.9,17.4
501.0,2017,7.2,44.0,10.0
501.0,2017,7.2,58.0,10.0
307.0,2017,9.3,35.0,5.0
307.0,2017,9.3,12.0,5.0
5.0,2015,7.7,33.1,15.0
5.0,2015,7.7,20.8,15.0
204.0,2015,8.7,71.4,13.2
204.0,2015,8.7,118.4,13.2
304.0,2009,11.0,74.2,11.6
304.0,2009,11.0,25.5,11.6
107.0,2017,9.2,147.0,15.0
107.0,2017,9.2,83.0,15.0
207.0,2009,10.9,115.8,10.5
207.0,2009,10.9,57.9,10.5
107.0,2017,8.3,147.0,15.0
107.0,2017,8.3,83.0,15.0
205.0,2015,9.5,34.4,7.4
205.0,2015,9.5,18.6,7.4
305.0,2012,13.1,24.4,8.4
305.0,2012,13.1,8.0,8.4
208.0,2015,8.4,31.4,11.9
208.0,2015,8.4,61.4,11.9
308.0,2017,8.7,14.0,3.0
308.0,2017,8.7,6.0,3.0
304.0,2015,10.4,23.2,8.5
304.0,2015,10.4,51.9,8.5
204.0,2015,9.5,71.4,13.2
204.0,2015,9.5,118.4,13.2
204.0,2012,9.6,141.6,14.0
204.0,2012,9.6,84.9,14.0
5.0,2012,9.9,45.4,13.6
5.0,2012,9.9,26.2,13.6
5.0,2015,6.8,33.1,15.0
5.0,2015,6.8,20.8,15.0
5.0,2012,9.7,45.4,13.6
5.0,2012,9.7,26.2,13.6
207.0,2009,10.7,115.8,10.5
207.0,2009,10.7,57.9,10.5
307.0,2009,10.3,69.7,8.6
307.0,2009,10.3,20.7,8.6
107.0,2012,12.6,233.2,25.5
107.0,2012,12.6,130.6,25.5
203.0,2009,9.9,178.4,16.3
203.0,2009,9.9,95.4,16.3
102.0,2012,12.2,57.7,14.2
102.0,2012,12.2,139.9,14.2
204.0,2009,9.8,85.0,13.9
204.0,2009,9.8,153.2,13.9
307.0,2012,10.8,57.6,8.9
307.0,2012,10.8,24.0,8.9
207.0,2012,11.7,49.9,10.6
207.0,2012,11.7,102.4,10.6
107.0,2009,11.0,138.1,30.2
107.0,2009,11.0,251.3,30.2
309.0,2009,10.8,151.9,15.5
309.0,2009,10.8,45.5,15.5
309.0,2012,8.6,36.2,12.0
309.0,2012,8.6,114.8,12.0
309.0,2017,7.4,29.0,7.0
309.0,2017,7.4,90.0,7.0
409.0,2009,10.0,27.4,10.0
409.0,2009,10.0,70.5,10.0
409.0,2015,6.9,39.5,8.2
409.0,2015,6.9,17.9,8.2
409.0,2017,7.5,11.0,3.0
409.0,2017,7.5,35.0,3.0
409.0,2015,7.9,39.5,8.2
409.0,2015,7.9,17.9,8.2
409.0,2017,6.8,11.0,3.0
409.0,2017,6.8,35.0,3.0
205.0,2012,9.1,28.0,9.4
205.0,2012,9.1,45.5,9.4
205.0,2009,11.5,51.3,12.5
205.0,2009,11.5,35.0,12.5
409.0,2015,8.8,39.5,8.2
409.0,2015,8.8,17.9,8.2
409.0,2015,6.5,39.5,8.2
409.0,2015,6.5,17.9,8.2
105.0,2015,10.3,87.1,21.4
105.0,2015,10.3,167.2,21.4
306.0,2009,10.5,88.6,9.0
306.0,2009,10.5,25.3,9.0
104.0,2015,11.4,105.2,15.9
104.0,2015,11.4,44.6,15.9
106.0,2009,13.1,249.3,27.6
106.0,2009,13.1,130.1,27.6
406.0,2015,9.4,36.2,8.5
406.0,2015,9.4,12.7,8.5
106.0,2015,10.6,98.1,25.8
106.0,2015,10.6,188.6,25.8
206.0,2015,8.6,9.3,8.8
206.0,2015,8.6,15.8,8.8
410.0,2009,9.6,47.8,18.8
410.0,2009,9.6,111.8,18.8
210.0,2017,6.8,30.0,10.0
210.0,2017,6.8,18.0,10.0
410.0,2015,6.0,39.0,16.9
410.0,2015,6.0,55.0,16.9
309.0,2012,10.3,36.2,12.0
309.0,2012,10.3,114.8,12.0
5.0,2017,7.8,19.0,10.0
5.0,2017,7.8,30.0,10.0
211.0,2017,9.9,88.0,8.0
211.0,2017,9.9,51.0,8.0
304.0,2017,10.1,40.0,5.0
304.0,2017,10.1,18.0,5.0
204.0,2017,9.1,99.0,9.0
204.0,2017,9.1,58.0,9.0
107.0,2009,11.2,138.1,30.2
107.0,2009,11.2,251.3,30.2
107.0,2017,10.1,147.0,15.0
107.0,2017,10.1,83.0,15.0
102.0,2009,13.0,73.4,18.6
102.0,2009,13.0,37.6,18.6
106.0,2012,12.3,117.4,23.5
106.0,2012,12.3,232.5,23.5
3.0,2015,10.2,34.8,9.6
3.0,2015,10.2,93.5,9.6
210.0,2009,8.9,35.1,15.4
210.0,2009,8.9,19.8,15.4
210.0,2015,8.8,31.4,14.7
210.0,2015,8.8,18.2,14.7
206.0,2015,9.2,9.3,8.8
206.0,2015,9.2,15.8,8.8
501.0,2015,8.2,45.6,17.4
501.0,2015,8.2,66.9,17.4
202.0,2012,11.9,35.8,10.2
202.0,2012,11.9,76.9,10.2
202.0,2009,10.7,89.1,13.1
202.0,2009,10.7,40.7,13.1
301.0,2015,9.4,81.6,10.3
301.0,2015,9.4,32.9,10.3
301.0,2009,10.7,138.5,12.5
301.0,2009,10.7,44.5,12.5
410.0,2017,7.5,33.0,10.0
410.0,2017,7.5,46.0,10.0
501.0,2015,8.9,45.6,17.4
501.0,2015,8.9,66.9,17.4
102.0,2012,12.7,57.7,14.2
102.0,2012,12.7,139.9,14.2
202.0,2009,11.4,89.1,13.1
202.0,2009,11.4,40.7,13.1
302.0,2015,9.8,193.1,14.9
302.0,2015,9.8,95.1,14.9
202.0,2017,9.1,43.0,6.0
202.0,2017,9.1,23.0,6.0
102.0,2017,10.3,81.0,10.0
102.0,2017,10.3,36.0,10.0
304.0,2012,10.4,63.9,10.2
304.0,2012,10.4,23.5,10.2
104.0,2015,10.9,105.2,15.9
104.0,2015,10.9,44.6,15.9
208.0,2017,7.4,55.0,8.0
208.0,2017,7.4,27.0,8.0
308.0,2012,8.8,7.2,5.3
308.0,2012,8.8,18.1,5.3
305.0,2015,9.3,18.6,6.7
305.0,2015,9.3,6.6,6.7
206.0,2015,9.5,9.3,8.8
206.0,2015,9.5,15.8,8.8
308.0,2012,10.4,7.2,5.3
308.0,2012,10.4,18.1,5.3
206.0,2015,10.1,9.3,8.8
206.0,2015,10.1,15.8,8.8
306.0,2009,10.7,88.6,9.0
306.0,2009,10.7,25.3,9.0
106.0,2015,11.9,98.1,25.8
106.0,2015,11.9,188.6,25.8
208.0,2015,7.5,31.4,11.9
208.0,2015,7.5,61.4,11.9
203.0,2015,8.8,124.6,12.4
203.0,2015,8.8,68.1,12.4
405.0,2015,8.1,32.2,10.0
405.0,2015,8.1,12.8,10.0
403.0,2017,7.9,6.0,5.0
403.0,2017,7.9,25.0,5.0
103.0,2012,10.4,191.4,17.1
103.0,2012,10.4,77.6,17.1
104.0,2012,10.3,58.8,13.9
104.0,2012,10.3,133.9,13.9
104.0,2015,7.5,105.2,15.9
104.0,2015,7.5,44.6,15.9
304.0,2015,8.9,23.2,8.5
304.0,2015,8.9,51.9,8.5
104.0,2015,8.1,105.2,15.9
104.0,2015,8.1,44.6,15.9
201.0,2015,8.6,27.4,6.6
201.0,2015,8.6,19.9,6.6
102.0,2015,9.5,108.6,15.4
102.0,2015,9.5,48.4,15.4
104.0,2017,8.1,34.0,10.0
104.0,2017,8.1,80.0,10.0
403.0,2017,7.9,6.0,5.0
403.0,2017,7.9,25.0,5.0
204.0,2015,8.4,71.4,13.2
204.0,2015,8.4,118.4,13.2
403.0,2015,8.5,29.4,10.2
403.0,2015,8.5,7.9,10.2
303.0,2012,10.6,241.3,22.2
303.0,2012,10.6,129.6,22.2
403.0,2009,9.5,38.0,11.3
403.0,2009,9.5,9.3,11.3
305.0,2009,11.9,35.5,9.2
305.0,2009,11.9,9.4,9.2
303.0,2009,10.2,299.4,29.2
303.0,2009,10.2,147.1,29.2
303.0,2012,11.4,241.3,22.2
303.0,2012,11.4,129.6,22.2
303.0,2012,9.7,241.3,22.2
303.0,2012,9.7,129.6,22.2
305.0,2012,11.1,24.4,8.4
305.0,2012,11.1,8.0,8.4
303.0,2017,10.1,90.0,10.0
303.0,2017,10.1,160.0,10.0
205.0,2009,10.6,51.3,12.5
205.0,2009,10.6,35.0,12.5
103.0,2017,7.5,112.0,11.0
103.0,2017,7.5,49.0,11.0
203.0,2012,8.8,164.8,14.1
203.0,2012,8.8,91.2,14.1
104.0,2012,8.7,58.8,13.9
104.0,2012,8.7,133.9,13.9
204.0,2009,10.8,85.0,13.9
204.0,2009,10.8,153.2,13.9
204.0,2015,8.7,71.4,13.2
204.0,2015,8.7,118.4,13.2
203.0,2015,8.9,124.6,12.4
203.0,2015,8.9,68.1,12.4
303.0,2012,12.0,241.3,22.2
303.0,2012,12.0,129.6,22.2
204.0,2015,9.5,71.4,13.2
204.0,2015,9.5,118.4,13.2
104.0,2012,10.5,58.8,13.9
104.0,2012,10.5,133.9,13.9
104.0,2009,9.7,121.9,19.7
104.0,2009,9.7,57.5,19.7
304.0,2012,11.4,63.9,10.2
304.0,2012,11.4,23.5,10.2
204.0,2015,7.8,71.4,13.2
204.0,2015,7.8,118.4,13.2
106.0,2015,8.7,98.1,25.8
106.0,2015,8.7,188.6,25.8
309.0,2017,9.6,29.0,7.0
309.0,2017,9.6,90.0,7.0
206.0,2017,8.4,10.0,6.0
206.0,2017,8.4,14.0,6.0
206.0,2015,7.5,9.3,8.8
206.0,2015,7.5,15.8,8.8
209.0,2017,8.5,14.0,6.0
209.0,2017,8.5,8.0,6.0
410.0,2017,7.7,33.0,10.0
410.0,2017,7.7,46.0,10.0
210.0,2017,8.2,30.0,10.0
210.0,2017,8.2,18.0,10.0
210.0,2009,10.4,35.1,15.4
210.0,2009,10.4,19.8,15.4
210.0,2012,8.7,29.4,13.7
210.0,2012,8.7,17.9,13.7
310.0,2017,7.3,18.0,4.0
310.0,2017,7.3,33.0,4.0
209.0,2009,9.5,20.7,10.4
209.0,2009,9.5,11.3,10.4
409.0,2009,8.9,27.4,10.0
409.0,2009,8.9,70.5,10.0
3.0,2009,11.6,144.3,12.6
3.0,2009,11.6,45.7,12.6
309.0,2009,10.9,151.9,15.5
309.0,2009,10.9,45.5,15.5
3.0,2009,12.0,144.3,12.6
3.0,2009,12.0,45.7,12.6
210.0,2017,9.2,30.0,10.0
210.0,2017,9.2,18.0,10.0
210.0,2012,10.3,29.4,13.7
210.0,2012,10.3,17.9,13.7
210.0,2009,9.5,35.1,15.4
210.0,2009,9.5,19.8,15.4
210.0,2017,8.0,30.0,10.0
210.0,2017,8.0,18.0,10.0
302.0,2009,10.6,291.1,18.8
302.0,2009,10.6,137.0,18.8
401.0,2017,9.5,42.0,5.0
401.0,2017,9.5,16.0,5.0
210.0,2009,9.1,35.1,15.4
210.0,2009,9.1,19.8,15.4
211.0,2015,8.7,107.9,11.0
211.0,2015,8.7,67.3,11.0
211.0,2012,11.0,97.2,15.9
211.0,2012,11.0,165.3,15.9
209.0,2015,7.7,16.8,8.9
209.0,2015,7.7,8.5,8.9
211.0,2015,9.4,107.9,11.0
211.0,2015,9.4,67.3,11.0
209.0,2017,8.1,14.0,6.0
209.0,2017,8.1,8.0,6.0
210.0,2012,10.3,29.4,13.7
210.0,2012,10.3,17.9,13.7
209.0,2015,8.1,16.8,8.9
209.0,2015,8.1,8.5,8.9
209.0,2012,8.2,18.1,8.9
209.0,2012,8.2,10.4,8.9
211.0,2009,11.5,184.6,18.2
211.0,2009,11.5,106.8,18.2
209.0,2009,10.6,20.7,10.4
209.0,2009,10.6,11.3,10.4
209.0,2015,9.0,16.8,8.9
