"name","geo_place_name","geo_type_name","start_date","data_value"
"Nitrogen dioxide (NO2)","Throgs Neck and Co-op City (CD10)","CD","2021-01-01","15.4"
"Nitrogen dioxide (NO2)","Williamsbridge and Baychester (CD12)","CD","2017-01-01","18.4"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF34","2010-12-01","32.6"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF34","2017-01-01","20.7"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF34","2021-01-01","19"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF34","2009-06-01","23.1"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF34","2010-12-01","28.4"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF34","2014-12-01","24.9"
"Nitrogen dioxide (NO2)","Bensonhurst - Bay Ridge","UHF34","2012-12-01","18.6"
"Nitrogen dioxide (NO2)","Long Island City - Astoria","UHF42","2018-12-01","25.7"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2010-12-01","35.9"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2014-12-01","29.2"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2012-12-01","28.6"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2009-06-01","30.9"
"Nitrogen dioxide (NO2)","Flushing - Clearview","UHF42","2014-12-01","24"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2017-01-01","25"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2021-01-01","20.3"
"Nitrogen dioxide (NO2)","Bedford Stuyvesant - Crown Heights","UHF42","2010-12-01","32.2"
"Nitrogen dioxide (NO2)","Bedford Stuyvesant - Crown Heights","UHF42","2021-01-01","17.1"
"Nitrogen dioxide (NO2)","Bedford Stuyvesant - Crown Heights","UHF42","2014-12-01","26.4"
"Nitrogen dioxide (NO2)","Crotona -Tremont","UHF42","2021-01-01","17.6"
"Nitrogen dioxide (NO2)","Upper East Side","UHF42","2011-12-01","29.5"
"Nitrogen dioxide (NO2)","East New York","UHF42","2009-06-01","19.5"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2011-06-01","25.8"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2015-12-01","26.4"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2020-12-01","22.8"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2020-12-01","24.1"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2016-06-01","19.1"
"Nitrogen dioxide (NO2)","East New York","UHF42","2015-12-01","23.3"
"Nitrogen dioxide (NO2)","East New York","UHF42","2013-06-01","16.6"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2008-12-01","32"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2010-12-01","29.3"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2014-06-01","17"
"Nitrogen dioxide (NO2)","Pelham - Throgs Neck","UHF42","2015-01-01","19.4"
"Nitrogen dioxide (NO2)","Williamsburg - Bushwick","UHF42","2018-12-01","25.3"
"Nitrogen dioxide (NO2)","Upper West Side","UHF42","2015-01-01","23.9"
"Nitrogen dioxide (NO2)","East New York","UHF42","2020-01-01","15.7"
"Nitrogen dioxide (NO2)","Rockaway and Broad Channel (CD14)","CD","2009-12-01","14"
"Nitrogen dioxide (NO2)","Upper West Side (CD7)","CD","2012-12-01","30.6"
"Nitrogen dioxide (NO2)","Upper West Side (CD7)","CD","2009-12-01","28.6"
"Nitrogen dioxide (NO2)","Rockaway and Broad Channel (CD14)","CD","2012-12-01","18.8"
"Nitrogen dioxide (NO2)","Sunset Park (CD7)","CD","2014-06-01","15.3"
"Nitrogen dioxide (NO2)","Rockaway and Broad Channel (CD14)","CD","2010-12-01","14.2"
"Nitrogen dioxide (NO2)","Rockaway and Broad Channel (CD14)","CD","2008-12-01","14.6"
"Nitrogen dioxide (NO2)","Central Harlem - Morningside Heights","UHF42","2012-12-01","25.4"
"Nitrogen dioxide (NO2)","Chelsea - Clinton","UHF42","2021-01-01","23.3"
"Nitrogen dioxide (NO2)","Northeast Bronx","UHF42","2017-01-01","18.9"
"Nitrogen dioxide (NO2)","Downtown - Heights - Slope","UHF42","2021-01-01","18.8"
"Nitrogen dioxide (NO2)","Chelsea - Clinton","UHF42","2022-06-01","19.5"
"Nitrogen dioxide (NO2)","Northeast Bronx","UHF42","2022-06-01","11.6"
"Nitrogen dioxide (NO2)","Downtown - Heights - Slope","UHF42","2011-12-01","24"
"Nitrogen dioxide (NO2)","Fresh Meadows","UHF42","2022-06-01","10.6"
"Nitrogen dioxide (NO2)","Chelsea - Clinton","UHF42","2021-06-01","20.2"
"Nitrogen dioxide (NO2)","Greenpoint","UHF42","2022-01-01","18.4"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2013-06-01","16.7"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2012-06-01","16.3"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2018-01-01","17.7"
"Nitrogen dioxide (NO2)","Jamaica and Hollis (CD12)","CD","2021-06-01","10.5"
