"name","geo_place_name","geo_type_name","start_date","data_value"
"Ozone (O3)","Rockaways","UHF42","2009-06-01","30.5"
"Ozone (O3)","Southeast Queens","UHF42","2017-06-01","31.7"
"Ozone (O3)","Southeast Queens","UHF42","2018-06-01","31.8"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2020-06-01","28.8"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2009-06-01","26.1"
"Ozone (O3)","Northeast Bronx","UHF42","2009-06-01","28.6"
"Ozone (O3)","Northeast Bronx","UHF42","2017-06-01","29"
"Ozone (O3)","Northeast Bronx","UHF42","2020-06-01","30.9"
"Ozone (O3)","Northeast Bronx","UHF42","2018-06-01","31.2"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2017-06-01","27.9"
"Ozone (O3)","Downtown - Heights - Slope","UHF42","2018-06-01","28.5"
"Ozone (O3)","Southeast Queens","UHF34","2011-06-01","33.6"
"Ozone (O3)","Southeast Queens","UHF34","2016-06-01","34.3"
"Ozone (O3)","Sunset Park","UHF34","2010-06-01","32.7"
"Ozone (O3)","Sunset Park","UHF42","2018-06-01","29.5"
"Ozone (O3)","Sunset Park","UHF42","2020-06-01","28.9"
"Ozone (O3)","Flushing - Clearview","UHF42","2009-06-01","28.6"
"Ozone (O3)","Ridgewood - Forest Hills","UHF42","2009-06-01","27.9"
"Ozone (O3)","Bedford Stuyvesant - Crown Heights","UHF42","2018-06-01","30.2"
"Ozone (O3)","Sunset Park","UHF42","2009-06-01","27.7"
"Ozone (O3)","Sunset Park","UHF42","2017-06-01","29.3"
"Ozone (O3)","Upper East Side","UHF42","2009-06-01","23"
"Ozone (O3)","Upper East Side","UHF42","2017-06-01","25.2"
"Ozone (O3)","High Bridge - Morrisania","UHF42","2009-06-01","26.3"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF42","2018-06-01","32.5"
"Ozone (O3)","Southeast Queens","UHF42","2009-06-01","28.7"
"Ozone (O3)","Bensonhurst - Bay Ridge","UHF42","2020-06-01","29.8"
"Ozone (O3)","Coney Island - Sheepshead Bay","UHF42","2009-06-01","28.4"
"Ozone (O3)","Southeast Queens","UHF42","2020-06-01","30"
"Ozone (O3)","Rockaways","UHF42","2020-06-01","31.5"
"Ozone (O3)","Bushwick (CD4)","CD","2010-06-01","33"
"Ozone (O3)","East Flatbush (CD17)","CD","2016-06-01","33.9"
"Ozone (O3)","Highbridge and Concourse (CD4)","CD","2010-06-01","31"
"Ozone (O3)","Highbridge and Concourse (CD4)","CD","2011-06-01","30.8"
"Ozone (O3)","Bushwick (CD4)","CD","2013-06-01","30.4"
"Ozone (O3)","Bedford Stuyvesant (CD3)","CD","2021-06-01","29.6"
"Ozone (O3)","East Flatbush - Flatbush","UHF42","2015-06-01","32.2"
"Ozone (O3)","Bronx","Borough","2015-06-01","30.4"
"Ozone (O3)","Bronx","Borough","2019-06-01","29.9"
"Ozone (O3)","Port Richmond","UHF42","2009-06-01","29.2"
"Ozone (O3)","Pelham - Throgs Neck","UHF42","2020-06-01","32.1"
"Ozone (O3)","Pelham - Throgs Neck","UHF42","2018-06-01","31.5"
"Ozone (O3)","Upper West Side","UHF42","2017-06-01","25.6"
"Ozone (O3)","East New York","UHF42","2017-06-01","30.9"
"Ozone (O3)","East New York","UHF42","2018-06-01","31.7"
"Ozone (O3)","Williamsburg - Bushwick","UHF42","2020-06-01","29.4"
"Ozone (O3)","Upper West Side","UHF42","2020-06-01","29"
"Ozone (O3)","Williamsburg - Bushwick","UHF42","2017-06-01","29.3"
"Ozone (O3)","Manhattan","Borough","2020-06-01","28.8"
"Ozone (O3)","Union Square - Lower East Side","UHF42","2009-06-01","24"
